TOUCHLOG_BEGIN:8000ms,5000us,clear,addr=0x5D,irq=10
TOUCHLOG_DATA:us,status,int,repeats
1420001,0x00,0,1
1425000,0x81,0,1
1430001,0x00,0,1
1435000,0x81,0,1
1440001,0x00,0,1
1445000,0x81,0,1
1450001,0x00,0,1
1455000,0x81,0,1
1460001,0x00,0,1
1465000,0x81,0,1
1470001,0x00,0,1
1475000,0x81,0,1
1480001,0x00,0,2
1490000,0x81,0,1
1495001,0x00,0,1
1500000,0x81,0,1
1505001,0x00,0,1
1510000,0x81,0,1
1515001,0x00,0,1
1520000,0x81,0,1
1525001,0x00,0,1
1530000,0x81,0,1
1535001,0x00,0,1
1540000,0x81,0,1
1545001,0x00,0,1
1550000,0x00,1,1
1555000,0x81,0,1
1560001,0x00,0,1
1565000,0x81,0,1
1570001,0x00,0,1
1575000,0x81,0,1
1580001,0x00,0,1
1585000,0x81,0,1
1590001,0x00,0,1
1595000,0x81,0,1
1600001,0x00,0,1
1605000,0x81,0,1
1610001,0x00,0,1
1615000,0x00,1,1
1620000,0x81,0,1
1625001,0x00,0,1
1630000,0x81,0,1
1635001,0x00,0,1
1640000,0x81,0,1
1645001,0x00,0,1
1650000,0x81,0,1
1655001,0x00,0,1
1660000,0x81,0,1
1665001,0x00,0,1
1670000,0x81,0,1
520001,0x00,0,1
4525000,0x00,1,1
4530000,0x81,0,1
4535001,0x00,0,1
4540000,0x81,0,1
4545001,0x00,0,1
4550000,0x81,0,1
4555001,0x00,0,1
4560000,0x81,0,1
4565001,0x00,0,1
4570000,0x81,0,1
4575001,0x00,0,1
4580000,0x81,0,1
4585001,0x00,0,1
4590000,0x00,1,1
4595000,0x81,0,1
4600001,0x00,0,1
4605000,0x81,0,1
4610001,0x00,0,1
4615000,0x81,0,1
4620001,0x00,0,1
4625000,0x81,0,1
4630001,0x00,0,1
4635000,0x81,0,1
4640001,0x00,0,1
4645000,0x81,0,1
4650001,0x00,0,1
4655000,0x81,0,1
4660001,0x00,0,2
4670000,0x81,0,1
4675001,0x00,0,1
4680000,0x81,0,1
4685001,0x00,0,1
4690000,0x81,0,1
4695001,0x00,0,1
4700000,0x81,0,1
4705001,0x00,0,1
4710000,0x81,0,1
4715001,0x00,0,1
4720000,0x81,0,1
4725001,0x00,0,1
4730000,0x00,1,1
4735000,0x81,0,1
4740001,0x00,0,1
4745000,0x81,0,1
4750001,0x00,0,1
4755000,0x81,0,1
4760001,0x00,0,1
4765000,0x81,0,1
4770001,0x00,0,1
4775000,0x81,0,1
4780001,0x00,0,1
4785000,0x81,0,1
4790001,0x00,0,1
4795000,0x81,0,1
4800001,0x00,0,2
4810000,0x81,0,1
4815001,0x00,0,1
4820000,0x81,0,1
4825001,0x00,0,1
4830000,0x81,0,1
4835001,0x00,0,1
4840000,0x81,0,1
4845001,0x00,0,1
4850000,0x81,0,1
4855001,0x00,0,1
4860000,0x81,0,1
4865001,0x00,0,1
4870000,0x00,1,1
4875000,0x81,0,1
4880001,0x00,0,1
4885000,0x81,0,1
4890001,0x00,0,1
4895000,0x81,0,1
4900001,0x00,0,1
4905000,0x81,0,1
4910001,0x00,0,1
4915000,0x81,0,1
4920001,0x00,0,1
4925000,0x81,0,1
4930001,0x00,0,1
4935000,0x00,1,1
4940000,0x81,0,1
4945001,0x00,0,1
4950000,0x81,0,1
4955001,0x00,0,1
4960000,0x81,0,1
4965001,0x00,0,1
4970000,0x81,0,1
4975001,0x00,0,1
4980000,0x81,0,1
4985001,0x00,0,1
4990000,0x81,0,1
4995001,0x00,0,1
5000000,0x81,0,1
5005001,0x00,0,1
5010000,0x00,1,1
5015000,0x81,0,1
5020001,0x00,0,1
5025000,0x81,0,1
5030001,0x00,0,1
5035000,0x81,0,1
5040001,0x00,0,1
5045000,0x81,0,1
5050001,0x00,0,1
5055000,0x81,0,1
5060001,0x00,0,1
5065000,0x81,0,1
5070001,0x00,0,1
5075000,0x00,1,1
5080000,0x81,0,1
5085001,0x00,0,1
5090000,0x81,0,1
5095001,0x00,0,1
5100000,0x81,0,1
5105001,0x00,0,1
5110000,0x81,0,1
5115001,0x00,0,1
5120000,0x81,0,1
5125001,0x00,0,1
5130000,0x81,0,1
5135001,0x00,0,1
5140000,0x81,0,1
5145001,0x00,0,2
5155000,0x81,0,1
5160001,0x00,0,1
5165000,0x81,0,1
5170001,0x00,0,1
5175000,0x81,0,1
5185000,0x81,0,1
5190001,0x00,0,1
5195000,0x81,0,1
5200001,0x00,0,1
5205000,0x81,0,1
5210001,0x00,0,1
5215000,0x00,1,1
5220000,0x81,0,1
5225001,0x00,0,1
5230000,0x81,0,1
5235001,0x00,0,1
5240000,0x81,0,1
5245001,0x00,0,1
5250000,0x81,0,1
5255001,0x00,0,1
5260000,0x81,0,1
5265001,0x00,0,1
5270000,0x81,0,1
5275001,0x00,0,2
5285000,0x81,0,1
5290001,0x00,0,1
5295000,0x81,0,1
5300001,0x00,0,1
5305000,0x81,0,1
5310001,0x00,0,1
5315000,0x81,0,1
5320001,0x00,0,1
5325000,0x81,0,1
5330001,0x00,0,1
5335000,0x81,0,1
5340001,0x00,0,1
5345000,0x81,0,1
5350001,0x00,0,1
5355000,0x00,1,1
5360000,0x81,0,1
5365001,0x00,0,1
5370000,0x81,0,1
5375001,0x00,0,1
5380000,0x81,0,1
5385001,0x00,0,1
5390000,0x81,0,1
5395001,0x00,0,1
5400000,0x81,0,1
5405001,0x00,0,1
5410000,0x81,0,1
5415001,0x00,0,1
5420000,0x00,1,1
5425000,0x81,0,1
5430001,0x00,0,1
5435000,0x81,0,1
5440001,0x00,0,1
5445000,0x81,0,1
5450001,0x00,0,1
5455000,0x81,0,1
5460001,0x00,0,1
5465000,0x81,0,1
5470001,0x00,0,1
5475000,0x81,0,1
5480001,0x00,0,1
5485000,0x81,0,1
5490001,0x00,0,2
5500000,0x81,0,1
5505001,0x00,0,1
5510000,0x81,0,1
5515001,0x00,0,1
5520000,0x81,0,1
5525001,0x00,0,1
5530000,0x81,0,1
5535001,0x00,0,1
5540000,0x81,0,1
5545001,0x00,0,1
5550000,0x81,0,1
5555001,0x00,0,1
5560000,0x00,1,1
5565000,0x81,0,1
5570001,0x00,0,1
5575000,0x81,0,1
5580001,0x00,0,1
5585000,0x81,0,1
5590001,0x00,0,1
5595000,0x81,0,1
5600001,0x00,0,1
5605000,0x81,0,1
5610001,0x00,0,1
5615000,0x81,0,1
5620001,0x00,0,1
5625000,0x81,0,1
5630001,0x00,0,2
5640000,0x81,0,1
5645001,0x00,0,1
5650000,0x81,0,1
5655001,0x00,0,1
5660000,0x81,0,1
5665001,0x00,0,1
5670000,0x81,0,1
5675001,0x00,0,1
5680000,0x81,0,1
5685001,0x00,0,1
5690000,0x81,0,1
5695001,0x00,0,1
5700000,0x00,1,1
5705000,0x81,0,1
5710001,0x00,0,1
5715000,0x81,0,1
5720001,0x00,0,1
5725000,0x81,0,1
5730001,0x00,0,1
5735000,0x81,0,1
5740001,0x00,0,1
5745000,0x81,0,1
5750001,0x00,0,1
5755000,0x81,0,1
5760001,0x00,0,1
5765000,0x00,1,1
5770000,0x81,0,1
5775001,0x00,0,1
5780000,0x81,0,1
5785001,0x00,0,1
5790000,0x81,0,1
5795001,0x00,0,1
5800000,0x81,0,1
5805001,0x00,0,1
5810000,0x81,0,1
5815001,0x00,0,1
5820000,0x81,0,1
5825001,0x00,0,1
5830000,0x81,0,1
5835001,0x00,0,1
5840000,0x00,1,1
5845000,0x81,0,1
5850001,0x00,0,1
5855000,0x81,0,1
5860001,0x00,0,1
5865000,0x81,0,1
5870001,0x00,0,1
5875000,0x81,0,1
5880001,0x00,0,1
5885000,0x81,0,1
5890001,0x00,0,1
5895000,0x81,0,1
5900001,0x00,0,1
5905000,0x00,1,1
5910000,0x81,0,1
5915001,0x00,0,1
5920000,0x81,0,1
5925001,0x00,0,1
5930000,0x81,0,1
5935001,0x00,0,1
5940000,0x81,0,1
5945001,0x00,0,1
5950000,0x81,0,1
5955001,0x00,0,1
5960000,0x81,0,1
5965001,0x00,0,1
5970000,0x81,0,1
5975001,0x00,0,2
5985000,0x81,0,1
5990001,0x00,0,1
5995000,0x81,0,1
6000001,0x00,0,1
6005000,0x81,0,1
6010001,0x00,0,1
6015000,0x81,0,1
6020001,0x00,0,1
6025000,0x81,0,1
6030001,0x00,0,1
6035000,0x81,0,1
6040001,0x00,0,1
6045000,0x00,1,1
6050000,0x81,0,1
6055001,0x00,0,1
6060000,0x81,0,1
6065001,0x00,0,1
6070000,0x81,0,1
6075001,0x00,0,1
6080000,0x81,0,1
6085001,0x00,0,1
6090000,0x81,0,1
6095001,0x00,0,1
6100000,0x81,0,1
6105001,0x00,0,2
6115000,0x81,0,1
6120001,0x00,0,1
6125000,0x81,0,1
6130001,0x00,0,1
6135000,0x81,0,1
6140001,0x00,0,1
6145000,0x81,0,1
6150001,0x00,0,1
6155000,0x81,0,1
6160001,0x00,0,1
6165000,0x81,0,1
6170001,0x00,0,1
6175000,0x81,0,1
6180001,0x00,0,1
6185000,0x00,1,1
6190000,0x81,0,1
6195001,0x00,0,1
6200000,0x81,0,1
6205001,0x00,0,1
6210000,0x81,0,1
6215001,0x00,0,1
6220000,0x81,0,1
6225001,0x00,0,1
6230000,0x81,0,1
6235001,0x00,0,1
6240000,0x81,0,1
6245001,0x00,0,1
6250000,0x00,1,1
6255000,0x81,0,1
6260001,0x00,0,1
6265000,0x81,0,1
6270001,0x00,0,1
6275000,0x81,0,1
6280001,0x00,0,1
6285000,0x81,0,1
6290001,0x00,0,1
6295000,0x81,0,1
6300001,0x00,0,1
6305000,0x81,0,1
6310001,0x00,0,1
6315000,0x81,0,1
6320001,0x00,0,2
6330000,0x81,0,1
6335001,0x00,0,1
6340000,0x81,0,1
6345001,0x00,0,1
6350000,0x81,0,1
6355001,0x00,0,1
6360000,0x81,0,1
6365001,0x00,0,1
6370000,0x81,0,1
6375001,0x00,0,1
6380000,0x81,0,1
6385001,0x00,0,1
6390000,0x00,1,1
6395000,0x81,0,1
6400001,0x00,0,1
6405000,0x81,0,1
6410001,0x00,0,1
6415000,0x81,0,1
6420001,0x00,0,1
6425000,0x81,0,1
6430001,0x00,0,1
6435000,0x81,0,1
6440001,0x00,0,1
6445000,0x81,0,1
6450001,0x00,0,1
6455000,0x81,0,1
6460001,0x00,0,2
6470000,0x81,0,1
6475001,0x00,0,1
6480000,0x81,0,1
6485001,0x00,0,1
6490000,0x81,0,1
6495001,0x00,0,1
6500000,0x81,0,1
6505001,0x00,0,1
6510000,0x81,0,1
6515001,0x00,0,1
6520000,0x81,0,1
6525001,0x00,0,1
6530000,0x00,1,1
6535000,0x81,0,1
6540001,0x00,0,1
6545000,0x81,0,1
6550001,0x00,0,1
6555000,0x81,0,1
6560001,0x00,0,1
6565000,0x81,0,1
6570001,0x00,0,1
6575000,0x81,0,1
6580001,0x00,0,1
6585000,0x81,0,1
6590001,0x00,0,1
6595000,0x00,1,1
6600000,0x81,0,1
6605001,0x00,0,1
6610000,0x81,0,1
6615001,0x00,0,1
6620000,0x81,0,1
6625001,0x00,0,1
6630000,0x81,0,1
6635001,0x00,0,1
6640001,0x81,0,1
6645001,0x00,0,1
6650000,0x81,0,1
6655001,0x00,0,1
6660000,0x81,0,1
6665001,0x00,0,1
6670001,0x00,1,1
6675000,0x81,0,1
6680001,0x00,0,1
6685000,0x81,0,1
6690001,0x00,0,1
6695000,0x81,0,1
6700001,0x00,0,1
6705000,785001,0x00,0,1
6790000,0x81,0,1
6795001,0x00,0,1
6800001,0x81,0,1
6805001,0x00,0,2
6815000,0x81,0,1
6820001,0x00,0,1
6825000,0x81,0,1
6830001,0x00,0,1
6835000,0x81,0,1
6840001,0x00,0,1
6845000,0x81,0,1
6850001,0x00,0,1
6855001,0x81,0,1
6860000,0x00,0,1
6865000,0x81,0,1
6870001,0x00,0,1
6875000,0x00,1,1
6880000,0x81,0,1
6885001,0x00,0,1
6890000,0x81,0,1
6895001,0x00,0,1
6900000,0x81,0,1
6905001,0x00,0,1
6910001,0x81,0,1
6915001,0x00,0,1
6920000,0x81,0,1
6925001,0x00,0,1
6930000,0x81,0,1
6935001,0x00,0,2
6945000,0x81,0,1
6950001,0x00,0,1
6955000,0x81,0,1
6960001,0x00,0,1
6965000,0x81,0,1
6970001,0x00,0,1
6975000,0x81,0,1
6980001,0x00,0,1
6985000,0x81,0,1
6990001,0x00,0,1
6995000,0x81,0,1
7000001,0x00,0,1
7005000,0x81,0,1
7010001,0x00,0,1
7015001,0x00,1,1
7020001,0x81,0,1
7025001,0x00,0,1
7030000,0x81,0,1
7035001,0x00,0,1
7040001,0x81,0,1
7045001,0x00,0,1
7050000,0x81,0,1
7055001,0x00,0,1
7060000,0x81,0,1
7065001,0x00,0,1
7070001,0x81,0,1
7075001,0x00,0,1
7080000,0x00,1,1
7085000,0x81,0,1
7090001,0x00,0,1
7095001,0x81,0,1
7100000,0x00,0,1
7105000,0x81,0,1
7110001,0x00,0,1
7115000,0x81,0,1
7120001,0x00,0,1
7125000,0x81,0,1
7130001,0x00,0,1
7135000,0x81,0,1
7140001,0x00,0,1
7145000,0x81,0,1
7150001,0x00,0,2
7160000,0x81,0,1
7165001,0x00,0,1
7170000,0x81,0,1
7175001,0x00,0,1
7180000,0x81,0,1
7185001,0x00,0,1
7190000,0x81,0,1
7195001,0x00,0,1
7200001,0x81,0,1
7205001,0x00,0,1
7210000,0x81,0,1
7215001,0x00,0,1
7220000,0x00,1,1
7225001,0x81,0,1
7230000,0x00,0,1
7235000,0x81,0,1
7240001,0x00,0,1
7245000,0x81,0,1
7250001,0x00,0,1
7255001,0x81,0,1
7260000,0x00,0,1
7265000,0x81,0,1
7270001,0x00,0,1
7275000,0x81,0,1
7280001,0x00,0,1
7285000,0x81,0,1
7290001,0x00,0,2
7300000,0x81,0,1
7305001,0x00,0,1
7310001,0x81,0,1
7315001,0x00,0,1
7320000,0x81,0,1
7325001,0x00,0,1
7330000,0x81,0,1
7335001,0x00,0,1
7340000,0x81,0,1
7345001,0x00,0,1
7350000,0x81,0,1
7355001,0x00,0,1
7360001,0x00,1,1
7365000,0x81,0,1
7370001,0x00,0,1
7375000,0x81,0,1
7380001,0x00,0,1
7385000,0x81,0,1
7390001,0x00,0,1
7395000,0x81,0,1
7400001,0x00,0,1
7405000,0x81,0,1
7410001,0x00,0,1
7415001,0x81,0,1
7420000,0x00,0,1
7425000,0x00,1,1
7430000,0x81,0,1
7435001,0x00,0,1
7440001,0x81,0,1
7445001,0x00,0,1
7450000,0x81,0,1
7455001,0x00,0,1
7460000,0x81,0,1
7465001,0x00,0,1
7470001,0x81,0,1
7475001,0x00,0,1
7480000,0x81,0,1
7485001,0x00,0,1
7490000,0x81,0,1
7495001,0x00,0,1
7500000,0x00,1,1
7505000,0x81,0,1
7510001,0x00,0,1
7515000,0x81,0,1
7520001,0x00,0,1
7525000,0x81,0,1
7530001,0x00,0,1
7535000,0x81,0,1
7540001,0x00,0,1
7545000,0x81,0,1
7550001,0x00,0,1
7555000,0x81,0,1
7560001,0x00,0,1
7565000,0x00,1,1
7570001,0x81,0,1
7575001,0x00,0,1
7580001,0x81,0,1
7585001,0x00,0,1
7590000,0x81,0,1
7595001,0x00,0,1
7600001,0x81,0,1
7605001,0x00,0,1
7610000,0x81,0,1
7615001,0x00,0,1
7620000,0x81,0,1
7625001,0x00,0,1
7630001,0x81,0,1
7635001,0x00,0,2
7645000,0x81,0,1
7650001,0x00,0,1
7655001,0x81,0,1
7660000,0x00,0,1
7665000,0x81,0,1
7670001,0x00,0,1
7675000,0x81,0,1
7680001,0x00,0,1
7685000,0x81,0,1
7690001,0x00,0,1
7695000,0x81,0,1
7700001,0x00,0,1
7705000,0x00,1,1
7710000,0x81,0,1
7715001,0x00,0,1
7720000,0x81,0,1
7725001,0x00,0,1
7730000,0x81,0,1
7735001,0x00,0,1
7740000,0x81,0,1
7745001,0x00,0,1
7750000,0x81,0,1
7755001,0x00,0,1
7760001,0x81,0,1
7765001,0x00,0,1
7770000,0x00,1,1
7775000,0x81,0,1
7780001,0x00,0,1
7785000,0x81,0,1
7790001,0x00,0,1
7795000,0x81,0,1
7800001,0x00,0,1
7805000,0x81,0,1
7810001,0x00,0,1
7815001,0x81,0,1
7820000,0x00,0,1
7825000,0x81,0,1
7830001,0x00,0,1
7835000,0x81,0,1
7840001,0x00,0,1
7845000,0x00,1,1
7850000,0x81,0,1
7855001,0x00,0,1
7860000,0x81,0,1
7865001,0x00,0,1
7870001,0x81,0,1
7875001,0x00,0,1
7880000,0x81,0,1
7885001,0x00,0,1
7890000,0x81,0,1
7895001,0x00,0,1
7900000,0x81,0,1
7905001,0x00,0,1
7910000,0x00,1,1
7915001,0x81,0,1
7920000,0x00,0,1
7925000,0x81,0,1
7930001,0x00,0,1
7935000,0x81,0,1
7940001,0x00,0,1
7945000,0x81,0,1
7950001,0x00,0,1
7955000,0x81,0,1
7960001,0x00,0,1
7965000,0x81,0,1
7970001,0x00,0,1
7975001,0x81,0,1
7980000,0x00,0,2
7990000,0x81,0,1
7995001,0x00,0,1
8000000,0x81,0,1
TOUCHLOG_END:samples=1601,failed=0,span_us=8000000
