TOUCHLOG_BEGIN:8000ms,5000us,clear,addr=0x5D,irq=10
TOUCHLOG_DATA:us,status,int,repeats
5965001,0x00,0,1
5970001,0x81,0,1
5975001,0x00,0,1
5980001,0x81,0,1
5985001,0x00,0,1
5990001,0x80,0,1
5995001,0x00,0,1
6000001,0x80,0,1
6005001,0x00,0,1
6010001,0x80,0,1
6015001,0x00,0,1
6020001,0x00,1,7
6055001,0x81,0,1
6060001,0x00,0,1
6065001,0x81,0,1
6070001,0x00,0,1
6075001,0x81,0,1
6080001,0x00,0,1
6085001,0x81,0,1
6090001,0x00,0,1
6095001,0x00,1,1
6100001,0x81,0,1
6105001,0x00,0,1
6110001,0x81,0,1
6115001,0x00,0,1
6120001,0x80,0,1
6125001,0x00,0,1
6130001,0x80,0,1
6135001,0x00,0,1
6140001,0x80,0,1
6145001,0x00,0,1
6150001,0x00,1,153
6915001,0x81,0,1
6920001,0x00,0,1
6925001,0x00,1,1
6930001,0x81,0,1
6935001,0x00,0,1
6940001,0x81,0,1
6945001,0x00,0,1
6950001,0x81,0,1
6955001,0x00,0,1
6960001,0x81,0,1
6965001,0x00,0,1
6970001,0x81,0,1
6975001,0x00,0,1
6980001,0x81,0,1
6985001,0x00,0,1
6990001,0x81,0,1
6995001,0x00,0,1
7000001,0x00,1,1
7005001,0x81,0,1
7010001,0x00,0,1
7015001,0x80,0,1
7020001,0x00,0,1
7025001,0x80,0,1
7030001,0x00,0,1
7035001,0x80,0,1
7040001,0x00,0,1
7045001,0x00,1,20
7145001,0x81,0,1
7150001,0x00,0,1
7155001,0x81,0,1
7160001,0x00,0,1
7165001,0x81,0,1
7170001,0x00,0,1
7175001,0x81,0,1
7180001,0x00,0,1
7185001,0x81,0,1
7190001,0x00,0,1
7195001,0x81,0,1
7200001,0x00,0,1
7205001,0x80,0,1
7210001,0x00,0,2
7220001,0x80,0,1
7225001,0x00,0,1
7230001,0x80,0,1
7235001,0x00,0,1
7240001,0x00,1,19
7335001,0x81,0,1
7340001,0x00,0,1
7345001,0x00,1,1
7350001,0x81,0,1
7355001,0x00,0,1
7360001,0x81,0,1
7365001,0x00,0,1
7370001,0x81,0,1
7375001,0x00,0,1
7380001,0x81,0,1
7385001,0x00,0,1
7390001,0x80,0,1
7395001,0x00,0,1
7400001,0x80,0,1
7405001,0x00,0,1
7410001,0x80,0,1
7415001,0x00,0,2
7425001,0x00,1,19
7520001,0x81,0,1
7525001,0x00,0,1
7530001,0x81,0,1
7535001,0x00,0,1
7540001,0x81,0,1
7545001,0x00,0,1
7550001,0x00,1,1
7555001,0x81,0,1
7560001,0x00,0,1
7565001,0x81,0,1
7570001,0x00,0,1
7575001,0x81,0,1
7580001,0x00,0,1
7585001,0x81,0,1
7590001,0x00,0,1
7595001,0x80,0,1
7600001,0x00,0,1
7605001,0x80,0,1
7610001,0x00,0,1
7615001,0x80,0,1
7620001,0x00,0,2
7630001,0x00,1,75
TOUCHLOG_END:samples=1601,failed=0,span_us=8000001
