TOUCHLOG_BEGIN:8000ms,5000us,clear,addr=0x5D,irq=10
[119678]   Wait complete:  8279x4_DRF (489 ms)
[119765] [DBG] [GFX] Time = 34 ms from clearScreen to displayBuffer
[120303]   Wait complete:  8279x4_DRF (488 ms)
TOUCHLOG_DATA:us,status,int,repeats,x,y
1470000,0x81,0,1,290,783
1475001,0x00,0,1,-1,-1
1480000,0x00,1,1,-1,-1
1485001,0x81,0,1,290,783
1490001,0x00,0,1,-1,-1
1495001,0x81,0,1,290,783
1500001,0x00,0,1,-1,-1
1505001,0x81,0,1,290,783
1510001,0x00,0,1,-1,-1
1515001,0x80,0,1,-1,-1
1520000,0x00,0,1,-1,-1
1525001,0x80,0,1,-1,-1
1530001,0x00,0,1,-1,-1
1535001,0x80,0,1,-1,-1
1540001,0x00,0,1,-1,-1
1545001,0x00,1,13,-1,-1
1610001,0x81,0,1,289,778
1615001,0x00,0,1,-1,-1
1620000,0x00,1,1,-1,-1
1625001,0x81,0,1,289,778
1630001,0x00,0,1,-1,-1
1635001,0x81,0,1,289,778
1640001,0x00,0,1,-1,-1
1645001,0x81,0,1,289,778
1650000,0x00,0,1,-1,-1
1655001,0x81,0,1,289,778
1660001,0x00,0,1,-1,-1
1665001,0x81,0,1,289,778
1670001,0x00,0,1,-1,-1
1675001,0x81,0,1,289,778
1680001,0x00,0,1,-1,-1
1685001,0x81,0,1,289,778
1690001,0x00,0,2,-1,-1
1700000,0x80,0,1,-1,-1
1705001,0x00,0,1,-1,-1
1710000,0x80,0,1,-1,-1
1715001,0x00,0,1,-1,-1
1720001,0x80,0,1,-1,-1
1725001,0x00,0,1,-1,-1
1730000,0x00,1,15,-1,-1
1805001,0x81,0,1,290,774
1810001,0x00,0,1,-1,-1
1815001,0x81,0,1,290,774
1820001,0x00,0,1,-1,-1
1825001,0x00,1,1,-1,-1
1830001,0x81,0,1,290,774
1835001,0x00,0,1,-1,-1
1840000,0x81,0,1,290,774
1845001,0x00,0,1,-1,-1
1850001,0x81,0,1,290,774
1855001,0x00,0,1,-1,-1
1860000,0x81,0,1,290,774
1865001,0x00,0,1,-1,-1
1870000,0x81,0,1,290,774
1875001,0x00,0,1,-1,-1
1880000,0x81,0,1,290,774
1885001,0x00,0,1,-1,-1
1890000,0x80,0,1,-1,-1
1895001,0x00,0,1,-1,-1
1900001,0x00,1,1,-1,-1
1905001,0x80,0,1,-1,-1
1910001,0x00,0,1,-1,-1
1915001,0x80,0,1,-1,-1
1920000,0x00,0,1,-1,-1
1925001,0x00,1,11,-1,-1
1980001,0x81,0,1,292,773
1985001,0x00,0,1,-1,-1
1990001,0x81,0,1,292,773
1995001,0x00,0,1,-1,-1
2000000,0x81,0,1,292,773
2005001,0x00,0,1,-1,-1
2010001,0x81,0,1,292,773
2015001,0x00,0,1,-1,-1
2020000,0x81,0,1,292,773
2025001,0x00,0,1,-1,-1
2030000,0x81,0,1,292,773
2035001,0x00,0,2,-1,-1
2045001,0x81,0,1,292,773
2050001,0x00,0,1,-1,-1
2055001,0x81,0,1,292,773
2060001,0x00,0,1,-1,-1
2065001,0x80,0,1,-1,-1
2070001,0x00,0,1,-1,-1
2075001,0x80,0,1,-1,-1
2080000,0x00,0,1,-1,-1
2085001,0x80,0,1,-1,-1
2090001,0x00,0,1,-1,-1
2095001,0x00,1,61,-1,-1
2400000,0x81,0,1,304,781
2405001,0x00,0,1,-1,-1
2410000,0x81,0,1,304,781
2415001,0x00,0,1,-1,-1
2420000,0x81,0,1,304,781
2425001,0x00,0,1,-1,-1
2430000,0x81,0,1,304,781
2435001,0x00,0,1,-1,-1
2440000,0x81,0,1,304,781
2445001,0x00,0,1,-1,-1
2450000,0x00,1,1,-1,-1
2455001,0x81,0,1,304,781
2460001,0x00,0,1,-1,-1
2465001,0x81,0,1,304,781
2470001,0x00,0,1,-1,-1
2475001,0x81,0,1,304,781
2480001,0x00,0,1,-1,-1
2485001,0x81,0,1,304,781
2490001,0x00,0,1,-1,-1
2495001,0x80,0,1,-1,-1
2500001,0x00,0,1,-1,-1
2505001,0x80,0,1,-1,-1
2510000,0x00,0,1,-1,-1
2515001,0x80,0,1,-1,-1
2520001,0x00,0,2,-1,-1
2530001,0x00,1,45,-1,-1
2755001,0x81,0,1,297,786
2760001,0x00,0,1,-1,-1
2765001,0x81,0,1,297,786
2770000,0x00,0,1,-1,-1
2775001,0x81,0,1,297,786
2780001,0x00,0,1,-1,-1
2785001,0x81,0,1,297,786
2790001,0x00,0,1,-1,-1
2795001,0x00,1,1,-1,-1
2800000,0x81,0,1,297,786
2805001,0x00,0,1,-1,-1
2810000,0x81,0,1,297,786
2815001,0x00,0,1,-1,-1
2820000,0x81,0,1,297,786
2825001,0x00,0,1,-1,-1
2830000,0x81,0,1,297,786
2835001,0x00,0,1,-1,-1
2840000,0x81,0,1,297,786
2845001,0x00,0,1,-1,-1
2850000,0x80,0,1,-1,-1
2855001,0x00,0,1,-1,-1
2860001,0x80,0,1,-1,-1
2865001,0x00,0,2,-1,-1
2875001,0x80,0,1,-1,-1
2880000,0x00,0,1,-1,-1
2885001,0x00,1,17,-1,-1
2970001,0x81,0,1,298,788
2975001,0x00,0,1,-1,-1
2980000,0x81,0,1,298,788
2985001,0x00,0,1,-1,-1
2990000,0x81,0,1,298,788
2995001,0x00,0,1,-1,-1
3000000,0x81,0,1,298,788
3005001,0x00,0,2,-1,-1
3015001,0x81,0,1,298,788
3020001,0x00,0,1,-1,-1
3025001,0x81,0,1,298,788
3030001,0x00,0,1,-1,-1
3035001,0x81,0,1,298,788
3040001,0x00,0,1,-1,-1
3045001,0x80,0,1,-1,-1
3050001,0x00,0,1,-1,-1
3055001,0x80,0,1,-1,-1
3060001,0x00,0,1,-1,-1
3065001,0x80,0,1,-1,-1
3070000,0x00,0,1,-1,-1
3075001,0x00,1,108,-1,-1
3615001,0x81,0,1,402,791
3620001,0x00,0,1,-1,-1
3625001,0x00,1,1,-1,-1
3630000,0x81,0,1,402,791
3635001,0x00,0,1,-1,-1
3640000,0x81,0,1,402,791
3645001,0x00,0,1,-1,-1
3650000,0x81,0,1,402,791
3655001,0x00,0,1,-1,-1
3660001,0x81,0,1,402,791
3665001,0x00,0,1,-1,-1
3670001,0x81,0,1,402,791
3675001,0x00,0,1,-1,-1
3680000,0x81,0,1,402,791
3685001,0x00,0,1,-1,-1
3690001,0x81,0,1,402,791
3695001,0x00,0,2,-1,-1
3705001,0x81,0,1,402,791
3710001,0x00,0,1,-1,-1
3715001,0x81,0,1,402,791
3720001,0x00,0,1,-1,-1
3725001,0x81,0,1,402,791
3730000,0x00,0,1,-1,-1
3735001,0x80,0,1,-1,-1
3740001,0x00,0,1,-1,-1
3745001,0x80,0,1,-1,-1
3750001,0x00,0,1,-1,-1
3755001,0x80,0,1,-1,-1
3760000,0x00,0,1,-1,-1
3765001,0x00,1,63,-1,-1
4080000,0x81,0,1,384,775
4085001,0x00,0,1,-1,-1
4090000,0x81,0,1,384,775
4095001,0x00,0,1,-1,-1
4100000,0x81,0,1,384,775
4105001,0x00,0,1,-1,-1
4110000,0x00,1,1,-1,-1
4115001,0x81,0,1,384,775
4120001,0x00,0,1,-1,-1
4125001,0x81,0,1,384,775
4130000,0x00,0,1,-1,-1
4135001,0x81,0,1,384,775
4140001,0x00,0,1,-1,-1
4145001,0x81,0,1,384,775
4150001,0x00,0,1,-1,-1
4155001,0x81,0,1,384,775
4160001,0x00,0,1,-1,-1
4165001,0x81,0,1,384,775
4170001,0x00,0,1,-1,-1
4175001,0x81,0,1,384,775
4180000,0x00,0,2,-1,-1
4190000,0x81,0,1,384,775
4195001,0x00,0,1,-1,-1
4200000,0x81,0,1,384,776
4205001,0x00,0,1,-1,-1
4210000,0x80,0,1,-1,-1
4215001,0x00,0,1,-1,-1
4220001,0x80,0,1,-1,-1
4225001,0x00,0,1,-1,-1
4230001,0x80,0,1,-1,-1
4235001,0x00,0,1,-1,-1
4240000,0x00,1,35,-1,-1
4415001,0x81,0,1,324,787
4420001,0x00,0,1,-1,-1
4425001,0x81,0,1,324,787
4430001,0x00,0,1,-1,-1
4435001,0x81,0,1,324,787
4440001,0x00,0,1,-1,-1
4445001,0x81,0,1,324,787
4450000,0x00,0,1,-1,-1
4455001,0x00,1,1,-1,-1
4460001,0x81,0,1,324,787
4465001,0x00,0,1,-1,-1
4470001,0x81,0,1,324,787
4475001,0x00,0,1,-1,-1
4480000,0x81,0,1,324,787
4485001,0x00,0,1,-1,-1
4490001,0x81,0,1,324,787
4495001,0x00,0,1,-1,-1
4500000,0x81,0,1,324,787
4505001,0x00,0,1,-1,-1
4510000,0x81,0,1,324,787
4515001,0x00,0,1,-1,-1
4520000,0x80,0,1,-1,-1
4525001,0x00,0,1,-1,-1
4530001,0x80,0,1,-1,-1
4535001,0x00,0,2,-1,-1
4545001,0x80,0,1,-1,-1
4550001,0x00,0,1,-1,-1
4555001,0x00,1,58,-1,-1
4845001,0x81,0,1,193,777
4850001,0x00,0,1,-1,-1
4855001,0x81,0,1,193,777
4860001,0x00,0,1,-1,-1
4865001,0x81,0,1,193,777
4870001,0x00,0,1,-1,-1
4875001,0x00,1,1,-1,-1
4880000,0x81,0,1,193,777
4885001,0x00,0,1,-1,-1
4890000,0x81,0,1,193,777
4895001,0x00,0,1,-1,-1
4900000,0x81,0,1,193,777
4905001,0x00,0,1,-1,-1
4910000,0x81,0,1,193,777
4915001,0x00,0,1,-1,-1
4920000,0x81,0,1,193,777
4925001,0x00,0,1,-1,-1
4930000,0x81,0,1,193,777
4935001,0x00,0,1,-1,-1
4940001,0x00,1,1,-1,-1
4945001,0x81,0,1,193,777
4950001,0x00,0,1,-1,-1
4955001,0x81,0,1,193,777
4960001,0x00,0,1,-1,-1
4965001,0x80,0,1,-1,-1
4970001,0x00,0,1,-1,-1
4975001,0x80,0,1,-1,-1
4980001,0x00,0,1,-1,-1
4985001,0x80,0,1,-1,-1
4990000,0x00,0,1,-1,-1
4995001,0x00,1,602,-1,-1
TOUCHLOG_END:samples=1601,rows=464,failed=0,span_us=8000000
